k,F_k,F_{k-1},B_radius_at_first_step,A_freeze_radius,docking_error,docking_error_via_fibonacci_diff,cancellation_error
1,2,1,0.6180339887498948,0.5,0.11803398874989482,0.11803398874989479,2.7755575615628914e-17
2,3,2,0.9270509831248421,1.0,0.0729490168751577,0.07294901687515787,1.6653345369377348e-16
3,5,3,1.545084971874737,1.5,0.0450849718747371,0.045084971874737034,6.245004513516506e-17
4,8,5,2.472135954999579,2.5,0.02786404500042059,0.027864045000420834,2.42861286636753e-16
5,13,8,4.017220926874316,4.0,0.017220926874316502,0.017220926874315978,5.238864897449957e-16
6,21,13,6.489356881873896,6.5,0.010643118126104086,0.010643118126104412,3.2612801348363973e-16
7,34,21,10.506577808748212,10.5,0.006577808748212414,0.006577808748211567,8.474124180146703e-16
8,55,34,16.995934690622107,17.0,0.004065309377891671,0.004065309377892845,1.1744077932362984e-15
9,89,55,27.50251249937032,27.5,0.0025124993703207425,0.0025124993703187215,2.0209528495129803e-15
10,144,89,44.498447189992426,44.5,0.0015528100075709276,0.0015528100075741236,3.19601116405277e-15
11,233,144,72.00095968936274,72.0,0.0009596893627498147,0.0009596893627445979,5.216747173131253e-15
12,377,233,116.49940687935516,116.5,0.0005931206448211127,0.0005931206448366311,1.5518402535219522e-14
13,610,377,188.5003665687179,188.5,0.0003665687179287019,0.00036656871790796686,2.0735041288133527e-14
14,987,610,304.9997734480731,305.0,0.0002265519268924107,0.00022655192691445336,2.204267042331398e-14
15,1597,987,493.50014001679097,493.5,0.00014001679103629115,0.00014001679096509179,7.119936693174289e-14
16,2584,1597,798.4999134648641,798.5,8.653513585611954e-05,8.653513589251816e-05,3.639861849424886e-14
17,4181,2584,1292.000053481655,1292.0,5.3481655180171596e-05,5.348165495888679e-05,2.2128480281881704e-13
18,6765,4181,2090.499966946519,2090.5,3.305348067594792e-05,3.3053480819944525e-05,1.439966039202406e-13
