n,radius,central_angle_rad,central_angle_deg,side_chord,circumscribed_side,apothem,spoke_base_angle_deg,diag2,diag2_over_side,apothem_over_radius,vertices_shared_with_smaller_dgon,smallest_proper_divisor_gon,n_is_prime_like,euler_totient,predicted_shared_from_totient
3,1.5,2.0943951023931953,119.99999999999999,2.598076211353316,5.19615242270663,0.7500000000000002,30.000000000000004,2.598076211353316,1.0,0.5000000000000001,0,3,1,2,0
4,2.0,1.5707963267948966,90.0,2.8284271247461903,3.9999999999999996,1.4142135623730951,45.0,4.0,1.414213562373095,0.7071067811865476,1,2,0,2,1
5,2.5,1.2566370614359172,72.0,2.938926261462366,3.6327126400268037,2.0225424859373686,54.0,4.755282581475767,1.6180339887498945,0.8090169943749475,0,5,1,4,0
6,3.0,1.0471975511965976,59.99999999999999,2.9999999999999996,3.4641016151377544,2.598076211353316,60.00000000000001,5.196152422706632,1.7320508075688776,0.8660254037844387,3,2,0,2,3
7,3.5,0.8975979010256552,51.42857142857143,3.037186173822907,3.3710223316527004,3.153391037658467,64.28571428571429,5.472820377276209,1.8019377358048383,0.9009688679024191,0,7,1,6,0
8,4.0,0.7853981633974483,45.0,3.0614674589207183,3.3137084989847603,3.695518130045147,67.5,5.656854249492381,1.8477590650225737,0.9238795325112867,3,2,0,4,3
9,4.5,0.6981317007977318,40.0,3.0781812899310186,3.275732108395821,4.228616793536588,70.0,5.785088487178854,1.8793852415718166,0.9396926207859084,2,3,0,6,2
10,5.0,0.6283185307179586,36.0,3.090169943749474,3.249196962329063,4.755282581475767,72.0,5.877852522924732,1.9021130325903075,0.9510565162951534,5,2,0,4,5
11,5.5,0.5711986642890533,32.72727272727273,3.0990581252557265,3.229891422322034,5.277211354879736,73.63636363636363,5.947048992011573,1.9189859472289947,0.9594929736144974,0,11,1,10,0
12,6.0,0.5235987755982988,29.999999999999996,3.105828541230249,3.2153903091734723,5.79555495773441,75.0,5.999999999999999,1.9318516525781364,0.9659258262890683,7,2,0,4,7
13,6.5,0.483321946706122,27.69230769230769,3.1111036357382504,3.2042122194157074,6.311121813269338,76.15384615384615,6.041401236568991,1.9418836348521042,0.970941817426052,0,13,1,12,0
14,7.0,0.4487989505128276,25.714285714285715,3.1152930753884016,3.195408641462099,6.8244953852727654,77.14285714285714,6.074372347645814,1.9498558243636472,0.9749279121818236,7,2,0,6,7
15,7.5,0.41887902047863906,24.0,3.11867536226639,3.1883484250503313,7.336107005503543,78.0,6.101049646137002,1.9562952014676112,0.9781476007338057,6,3,0,8,6
16,8.0,0.39269908169872414,22.5,3.121445152258052,3.182597878074528,7.8462822432258434,78.75,6.1229349178414365,1.961570560806461,0.9807852804032304,7,2,0,8,7
17,8.5,0.36959913571644626,21.176470588235293,3.1237418028816957,3.1778507508356117,8.355271347313165,79.41176470588236,6.1411083251816,1.9659461993678033,0.9829730996839018,0,17,1,16,0
18,9.0,0.3490658503988659,20.0,3.125667198004746,3.17388565275237,8.863269777109872,80.0,6.156362579862037,1.9696155060244163,0.984807753012208,11,2,0,6,11
19,9.5,0.3306939635357677,18.94736842105263,3.127297215333944,3.170539238051492,9.370432382325863,80.52631578947368,6.169289914888986,1.9727226068054446,0.9863613034027224,0,19,1,18,0
20,10.0,0.3141592653589793,18.0,3.1286893008046173,3.1676888064907254,9.876883405951379,81.0,6.180339887498948,1.9753766811902753,0.9876883405951379,11,2,0,8,11
21,10.5,0.2991993003418851,17.142857142857142,3.1298875896996634,3.165240713265423,10.382723675363849,81.42857142857143,6.189858662628988,1.977661652450257,0.9888308262251284,8,3,0,12,8
22,11.0,0.28559933214452665,16.363636363636363,3.130926442012273,3.1631224678894125,10.888035860690259,81.81818181818183,6.198116250511453,1.9796428837618654,0.9898214418809327,11,2,0,10,11
23,11.5,0.2731819698773733,15.652173913043478,3.1318329292136715,3.1612772359837433,11.392888379417803,82.17391304347827,6.205325736611559,1.9813718920726617,0.9906859460363308,0,23,1,22,0
24,12.0,0.2617993877991494,14.999999999999998,3.1326286132812378,3.1596599420975,11.897338336485724,82.5,6.211657082460498,1.982889722747621,0.9914448613738104,15,2,0,8,15
