n,k,angle_deg,shared_with_dgon,is_new_to_n
12,0,0.0,1,0
12,1,29.999999999999996,12,1
12,2,59.99999999999999,6,0
12,3,90.0,4,0
12,4,119.99999999999999,3,0
12,5,150.0,12,1
12,6,180.0,2,0
12,7,210.0,12,1
12,8,239.99999999999997,3,0
12,9,270.0,4,0
12,10,300.0,6,0
12,11,330.0,12,1
15,0,0.0,1,0
15,1,24.0,15,1
15,2,48.0,15,1
15,3,72.0,5,0
15,4,96.0,15,1
15,5,119.99999999999999,3,0
15,6,144.0,5,0
15,7,168.0,15,1
15,8,192.0,15,1
15,9,216.0,5,0
15,10,239.99999999999997,3,0
15,11,263.99999999999994,15,1
15,12,288.0,5,0
15,13,312.00000000000006,15,1
15,14,336.0,15,1
20,0,0.0,1,0
20,1,18.0,20,1
20,2,36.0,10,0
20,3,54.0,20,1
20,4,72.0,5,0
20,5,90.0,4,0
20,6,108.0,10,0
20,7,126.0,20,1
20,8,144.0,5,0
20,9,162.0,20,1
20,10,180.0,2,0
20,11,197.99999999999997,20,1
20,12,216.0,5,0
20,13,234.0,20,1
20,14,252.0,10,0
20,15,270.0,4,0
20,16,288.0,5,0
20,17,306.0,20,1
20,18,324.0,10,0
20,19,342.0,20,1
30,0,0.0,1,0
30,1,12.0,30,1
30,2,24.0,15,0
30,3,36.0,10,0
30,4,48.0,15,0
30,5,59.99999999999999,6,0
30,6,72.0,5,0
30,7,84.0,30,1
30,8,96.0,15,0
30,9,108.0,10,0
30,10,119.99999999999999,3,0
30,11,131.99999999999997,30,1
30,12,144.0,5,0
30,13,156.00000000000003,30,1
30,14,168.0,15,0
30,15,179.99999999999997,2,0
30,16,192.0,15,0
30,17,204.0,30,1
30,18,216.0,5,0
30,19,228.0,30,1
30,20,239.99999999999997,3,0
30,21,252.0,10,0
30,22,263.99999999999994,15,0
30,23,276.0,30,1
30,24,288.0,5,0
30,25,300.0,6,0
30,26,312.00000000000006,15,0
30,27,324.0,10,0
30,28,336.0,15,0
30,29,348.00000000000006,30,1
