n,one_over_n,product,GM,AM,AM_minus_GM,diameter,radius,circumference,half_walk,half_diameter,equal_arc,chord,apothem,central_angle_rad,spiral_arc,cross_ratio,log_n,is_fibonacci,two_cos_pi_over_n,marriage_gap
1,1.0,1.0,1.0,1.0,0.0,1.0,0.5,3.141592653589793,1.5707963267948966,0.5,3.141592653589793,nan,nan,nan,3.141592653589793,-1.0,0.0,1,nan,nan
2,0.5,1.0,1.0,1.25,0.25,2.0,1.0,6.283185307179586,3.141592653589793,1.0,3.141592653589793,2.0,6.123233995736766e-17,3.141592653589793,7.853981633974483,-2.0,0.6931471805599453,1,nan,nan
3,0.3333333333333333,1.0,1.0,1.6666666666666667,0.6666666666666666,3.0,1.5,9.42477796076938,4.71238898038469,1.5,3.141592653589793,2.598076211353316,0.7500000000000002,2.0943951023931953,15.707963267948966,-3.0,1.0986122886681098,1,1.0000000000000002,-0.6180339887498947
4,0.25,1.0,1.0,2.125,1.125,4.0,2.0,12.566370614359172,6.283185307179586,2.0,3.141592653589793,2.8284271247461903,1.4142135623730951,1.5707963267948966,26.703537555513243,-4.0,1.3862943611198906,0,1.4142135623730951,-0.20382042637679976
5,0.2,1.0,1.0,2.6,1.6,5.0,2.5,15.707963267948966,7.853981633974483,2.5,3.141592653589793,2.938926261462366,2.0225424859373686,1.2566370614359172,40.840704496667314,-5.0,1.6094379124341003,1,1.618033988749895,0.0
6,0.16666666666666666,1.0,1.0,3.0833333333333335,2.0833333333333335,6.0,3.0,18.84955592153876,9.42477796076938,3.0,3.141592653589793,2.9999999999999996,2.598076211353316,1.0471975511965976,58.119464091411174,-6.0,1.791759469228055,0,1.7320508075688774,0.11401681881898251
7,0.14285714285714285,1.0,1.0,3.5714285714285716,2.5714285714285716,7.0,3.5,21.991148575128552,10.995574287564276,3.5,3.141592653589793,3.037186173822907,3.153391037658467,0.8975979010256552,78.53981633974483,-7.0,1.9459101490553132,0,1.8019377358048383,0.1839037470549434
8,0.125,1.0,1.0,4.0625,3.0625,8.0,4.0,25.132741228718345,12.566370614359172,4.0,3.141592653589793,3.0614674589207183,3.695518130045147,0.7853981633974483,102.10176124166827,-8.0,2.0794415416798357,1,1.8477590650225735,0.22972507627267857
9,0.1111111111111111,1.0,1.0,4.555555555555555,3.5555555555555554,9.0,4.5,28.274333882308138,14.137166941154069,4.5,3.141592653589793,3.0781812899310186,4.228616793536588,0.6981317007977318,128.8052987971815,-9.0,2.1972245773362196,0,1.8793852415718169,0.26135125282192195
10,0.1,1.0,1.0,5.05,4.05,10.0,5.0,31.41592653589793,15.707963267948966,5.0,3.141592653589793,3.090169943749474,4.755282581475767,0.6283185307179586,158.65042900628455,-10.0,2.302585092994046,0,1.902113032590307,0.28407904384041216
