m,j,gap,hx,hy,atan2,k_frozen,k_snap
1,1571,1571,-0.9999999187321829,-0.00040315707600664506,-3.1411894965028653,1.0,1.0
2,4713,3142,-0.9999992685897239,-0.001209470965912509,-3.1403831823290074,3.0,2.0
3,7854,3141,-0.9999999998753679,-1.5788101300051672e-05,-3.1415768654884926,4.999363462762572,3.0
4,10996,3142,-0.9999996620739438,-0.0008221021825523943,-3.140770551314638,6.999363462762572,4.0
5,14138,3142,-0.9999986741302272,-0.0016284157293206148,-3.139964237140783,8.999363462762572,5.0
6,17279,3141,-0.9999999055034849,-0.00043473327583257317,-3.141157920300267,10.998726925525144,6.0
7,20421,3142,-0.9999992299006958,-0.0012410471448039582,-3.1403516061264125,12.998726925525144,7.0
8,23562,3141,-0.9999999988783113,-4.736430387825028e-05,-3.1415452892858973,14.998090388287714,8.0
9,26704,3142,-0.9999996356165504,-0.0008536783740608576,-3.140738975112044,16.998090388287714,9.0
10,29846,3142,-0.9999986222125146,-0.0016599918892318281,-3.139932660938189,18.998090388287714,10.0
11,32987,3141,-0.9999998912777309,-0.0004663094752207688,-3.141126344097673,20.997453851050288,11.0
12,36129,3142,-0.9999991902146117,-0.001272623322459267,-3.1403200299238168,22.997453851050288,12.0
13,39270,3141,-0.9999999968841982,-7.894050641200968e-05,-3.1415137130832993,24.99681731381286,13.0
14,42412,3142,-0.9999996081621011,-0.000885254564724492,-3.140707398909443,26.99681731381286,14.0
15,45554,3142,-0.9999985692977468,-0.0016915680474927986,-3.1399010847355897,28.99681731381286,15.0
16,48695,3141,-0.9999998760549201,-0.0004978856741521174,-3.141094767895071,30.99618077657543,16.0
17,51837,3142,-0.9999991495314721,-0.0013041994988483951,-3.140288453721218,32.99618077657543,17.0
18,54978,3141,-0.9999999938930284,-0.00011051670887020903,-3.141482136880698,34.995544239338,18.0
19,58120,3142,-0.9999995797105955,-0.0009168307545070712,-3.140675822706841,36.995544239338,19.0
20,61262,3142,-0.9999985153859239,-0.0017231442040739808,-3.139869508532984,38.995544239338,20.0
21,64403,3141,-0.9999998598350529,-0.0005294618725899146,-3.141063191692466,40.994907702100576,21.0
22,67545,3142,-0.9999991078512767,-0.0013357756739464377,-3.1402568775186097,42.994907702100576,22.0
23,70686,3141,-0.9999999899048022,-0.0001420929112207807,-3.1414505606780945,44.99427116486314,23.0
24,73828,3142,-0.9999995502620338,-0.0009484069433753203,-3.1406442465042397,46.99427116486314,24.0
25,76970,3142,-0.999998460477046,-0.0017547203589320024,-3.139837932330383,48.99427116486314,25.0
26,80111,3141,-0.9999998426181292,-0.0005610380704940253,-3.141031615489867,50.99363462762572,26.0
27,83253,3142,-0.9999990651740254,-0.0013673518477025132,-3.1402253013160117,52.99363462762572,27.0
28,86394,3141,-0.9999999849195194,-0.00017366911342600995,-3.1414189844754943,54.99299809038829,28.0
29,89536,3142,-0.9999995198164158,-0.0009799831312978658,-3.140612670301638,56.99299809038829,29.0
30,92678,3142,-0.9999984045711129,-0.0017862965120414764,-3.1398063561277816,58.99299809038829,30.0
31,95819,3141,-0.9999998244041494,-0.0005926142678407507,-3.1410000392872655,60.99236155315086,31.0
32,98961,3142,-0.9999990214997186,-0.0013989280200981098,-3.140193725113411,62.99236155315086,32.0
33,102102,3141,-0.99999997893718,-0.00020524531545230545,-3.1413874082729,64.99172501591343,33.0
34,105244,3142,-0.9999994883737419,-0.001011559318238114,-3.1405810940990415,66.99172501591343,34.0
35,108386,3142,-0.9999983476681249,-0.0018178726633642458,-3.1397747799251854,68.99172501591343,35.0
36,111527,3141,-0.999999805193113,-0.0006241904645899978,-3.140968463084671,70.991088478676,36.0
37,114669,3142,-0.9999989768283564,-0.001430504191093715,-3.1401621489108154,72.991088478676,37.0
38,117810,3141,-0.999999971957784,-0.00023682151727889893,-3.1413558320703006,74.99045194143858,38.0
39,120952,3142,-0.9999994559340121,-0.0010431355041701298,-3.140549517896445,76.99045194143858,39.0
40,124094,3142,-0.9999982897680818,-0.0018494488128745067,-3.139743203722589,78.99045194143858,40.0
41,127235,3141,-0.9999997849850203,-0.0006557666607226235,-3.140936886882071,80.98981540420115,41.0
42,130377,3142,-0.9999989311599382,-0.0014620803606675047,-3.1401305727082156,82.98981540420115,42.0
43,133518,3141,-0.9999999639813316,-0.0002683977188725077,-3.141324255867698,84.98917886696371,43.0
44,136660,3142,-0.9999994224972258,-0.0010747116890674274,-3.140517941693843,86.98917886696371,44.0
45,139802,3142,-0.999998230870984,-0.0018810249605470835,-3.139711627519987,88.98917886696371,45.0
46,142943,3141,-0.9999997637798711,-0.0006873428562025522,-3.1409053106794693,90.98854232972629,46.0
47,146085,3142,-0.9999988844944648,-0.0014936565287831235,-3.140098996505616,92.98854232972629,47.0
48,149226,3141,-0.9999999550078226,-0.0002999739201936309,-3.1412926796651006,94.98790579248886,48.0
49,152368,3142,-0.999999388063384,-0.0011062878728873666,-3.1404863654912463,96.98790579248886,49.0
50,155510,3142,-0.9999981709768314,-0.0019126011063386708,-3.1396800513173897,98.98790579248886,50.0
51,158651,3141,-0.9999997415776657,-0.0007189190509901434,-3.140873734476875,100.98726925525143,51.0
52,161793,3142,-0.9999988368319359,-0.001525232695405421,-3.14006742030302,102.98726925525143,52.0
53,164934,3141,-0.999999945037257,-0.0003315501212128089,-3.141261103462506,104.98663271801401,53.0
54,168076,3142,-0.999999352632486,-0.0011378640556012692,-3.140454789288653,106.98663271801401,54.0
55,171218,3142,-0.9999981100856239,-0.0019441772502186768,-3.1396484751147975,108.98663271801401,55.0
56,174359,3141,-0.9999997183784038,-0.000750495245058804,-3.1408421582742827,110.98599618077658,56.0
57,177501,3142,-0.9999987881723515,-0.0015568088605048855,-3.1400358441004266,112.98599618077658,57.0
58,180642,3141,-0.999999934069635,-0.0003631263219007915,-3.1412295272599122,114.98535964353914,58.0
59,183784,3142,-0.999999316204532,-0.0011694402371835346,-3.140423213086057,116.98535964353914,59.0
60,186926,3142,-0.9999980481973619,-0.001975753392165762,-3.1396168989121995,118.98535964353914,60.0
61,190067,3141,-0.999999694182086,-0.0007820714383855087,-3.140810582071684,120.98472310630171,61.0
62,193209,3142,-0.999998738515712,-0.0015883850240553442,-3.14000426789783,122.98472310630171,62.0
63,196350,3141,-0.9999999221049566,-0.00039470252223112074,-3.141197951057314,124.98408656906429,63.0
64,199492,3142,-0.9999992787795222,-0.0012010164176010857,-3.1403916368834595,126.98408656906429,64.0
65,202633,3141,-0.9999999999731095,-7.333546847732609e-06,-3.1415853200429456,128.98345003182686,65.0
66,205775,3142,-0.9999996689887115,-0.0008136476309245762,-3.140779005869093,130.98345003182686,66.0
67,208917,3142,-0.999998687862017,-0.0016199611860191637,-3.139972691695236,132.98345003182686,67.0
68,212058,3141,-0.9999999091432213,-0.0004262787221604468,-3.1411663748547225,134.98281349458944,68.0
69,215200,3142,-0.9999992403574565,-0.0012325925968142623,-3.140360060680869,136.98281349458944,69.0
70,218341,3141,-0.9999999992430157,-3.89097494306258e-05,-3.141553743840353,138.982176957352,70.0
71,221483,3142,-0.999999642798281,-0.000845223822658091,-3.140747429666497,140.982176957352,71.0
72,224625,3142,-0.999998636211267,-0.0016515373463700936,-3.13994111549264,142.982176957352,72.0
73,227766,3141,-0.9999998951844298,-0.00045785492167109795,-3.1411347986521254,144.98154042011458,73.0
74,230908,3142,-0.9999992009383353,-0.001264168774803915,-3.140328484478273,146.98154042011458,74.0
75,234049,3141,-0.9999999975158652,-7.048595197696907e-05,-3.141522167637758,148.98090388287716,75.0
76,237191,3142,-0.9999996156107943,-0.0008768000135457463,-3.1407158534639033,150.98090388287716,76.0
77,240333,3142,-0.9999985835634613,-0.0016831135050685436,-3.13990953929005,152.98090388287716,77.0
78,243474,3141,-0.9999998802285819,-0.0004894311207191901,-3.141103222449534,154.98026734563973,78.0
79,246616,3142,-0.999999160522158,-0.0012957449515336788,-3.140296908275676,156.98026734563973,79.0
80,249757,3141,-0.9999999947916582,-0.00010206215445641574,-3.1414905914351596,158.9796308084023,80.0
81,252899,3142,-0.9999995874262513,-0.0009083762035657463,-3.1406842772613035,160.9796308084023,81.0
82,256041,3142,-0.9999985299186008,-0.0017146896621026318,-3.1398779630874456,162.9796308084023,82.0
83,259182,3141,-0.9999998642756774,-0.0005210073192911441,-3.141071646246931,164.97899427116485,83.0
84,262324,3142,-0.9999991191089251,-0.0013273211269788253,-3.1402653320730725,166.97899427116485,84.0
85,265465,3141,-0.9999999910703948,-0.0001336383568375113,-3.141459015232558,168.97835773392742,85.0
86,268607,3142,-0.9999995582446521,-0.0009399523926791163,-3.1406527010587046,170.97835773392742,86.0
87,271749,3142,-0.9999984752766852,-0.0017462658174175521,-3.139846386884851,172.97835773392742,87.0
88,274890,3141,-0.9999998473257166,-0.0005525835173403873,-3.141040070044331,174.97772119669,88.0
89,278032,3142,-0.9999990766986363,-0.001358897301091189,-3.140233755870478,176.97772119669,89.0
90,281173,3141,-0.9999999863520748,-0.00016521455907961662,-3.141427439029962,178.97708465945257,90.0
91,284315,3142,-0.999999528065997,-0.0009715285808576331,-3.140621124856103,180.97708465945257,91.0
92,287457,3142,-0.9999984196377142,-0.0017778419710021162,-3.1398148106822457,182.97708465945257,92.0
93,290598,3141,-0.9999998293786994,-0.0005841597148391282,-3.141008493841731,184.97644812221515,93.0
94,293740,3142,-0.9999990332912921,-0.0013904734738608177,-3.140202179667871,186.97644812221515,94.0
95,296881,3141,-0.999999980636698,-0.00019679076117296338,-3.14139586282735,188.97581158497772,95.0
96,300023,3142,-0.9999994968902856,-0.0010031047680775392,-3.140589548653492,190.97581158497772,96.0
