n0,n1,j0,j1,chord,path,chord_over_path
1,2,1571,3142,1.4999999729107274,2.410919058738234,0.6221693621252301
2,3,3142,4713,2.4999999512393094,3.959623043054238,0.6313732201414166
3,4,4713,6284,3.4999999303418705,5.521341283836547,0.6339039284870774
4,5,6284,7855,4.499999909702424,7.087232288037302,0.6349446055688164
5,6,7855,9426,5.4999998891802475,8.654994515079343,0.6354712160241995
6,7,9426,10997,6.499999868721217,10.223757915367218,0.6357740394998143
7,8,10997,12568,7.499999848300074,11.7931198984708,0.6359640123113298
8,9,12568,14139,8.499999827903444,13.362868359537673,0.6360909648441322
9,10,14139,15710,9.499999807523588,14.932880874581807,0.6361799767447508
10,11,15710,17281,10.499999787155716,16.503081812125817,0.6362447878941452
11,12,17281,18852,11.499999766796696,18.07342191832497,0.6362934378871904
12,13,18852,20423,12.499999746444407,19.64386773588095,0.6363308852671743
13,14,20423,21994,13.49999972609735,21.214395739504578,0.6363603230497961
14,15,21994,23565,14.499999705754451,22.784988904128895,0.6363838826854504
15,16,23565,25136,15.499999685414897,24.355634604394016,0.6364030310513252
16,17,25136,26707,16.499999665078086,25.926323279370976,0.6364188044436977
17,18,26707,28278,17.49999964474354,27.497047555837554,0.6364319518016156
18,19,28278,29849,18.499999624410894,29.067801656305477,0.6364430252811298
19,20,29849,31420,19.499999604079864,30.63858098942424,0.63645243919132
20,21,31420,32991,20.4999995837502,32.2093818604051,0.6364605093198261
21,22,32991,34562,21.49999956342172,33.78020126233907,0.6364674797657786
22,23,34562,36133,22.499999543094265,35.351036723216595,0.6364735416180176
23,24,36133,37704,23.499999522767705,36.92188619203748,0.6364788461927408
24,25,37704,39275,24.499999502441934,38.49274795283603,0.6364835145690566
25,26,39275,40846,25.499999482116845,40.063620558947825,0.6364876445601636
26,27,40846,42417,26.499999461792374,41.63450278217089,0.6364913158790129
27,28,42417,43988,27.499999441468454,43.205393573024836,0.6364945940137899
28,29,43988,45559,28.499999421145013,44.77629202938141,0.6364975331687541
29,30,45559,47130,29.49999940082202,46.34719737147889,0.6365001785194396
30,31,47130,48701,30.49999938049942,47.918108921853005,0.636502567959019
31,32,48701,50272,31.49999936017718,49.48902608909458,0.6365047334628905
32,33,50272,51843,32.499999339855265,51.05994835460339,0.636506702164049
33,34,51843,53414,33.49999931953364,52.63087526171968,0.6365084972071402
34,35,53414,54985,34.49999929921229,54.20180640674287,0.636510138431851
35,36,54985,56556,35.49999927889119,55.77274143147122,0.6365116429234621
