j,k,j_part,k_part,k_part_target,tens,tens_part,r_out,r_in,r_out_part,r_in_part,heading_dot
393,0.2501591343093571,25120,15.989815404201146,15.989821882951654,3.059995254315253,3.0599936599674837,0.12507956715467855,7.994910941475827,7.994907702100573,0.12507961783439492,0.6883761235295655
786,0.5003182686187142,12560,7.994907702100573,7.994910941475827,1.1238073025236353,1.123806543359538,0.2501591343093571,3.9974554707379135,3.9974538510502864,0.25015923566878984,-0.013975844171288627
1257,0.8001273074474857,7854,4.999363462762572,4.99920445505171,0.44983294062479906,0.4498663304219901,0.40006365372374286,2.499602227525855,2.499681731381286,0.40005092946269416,0.8094322019039567
1571,1.0,6284,4.0,4.0,0.25,0.25,0.5,2.0,2.0,0.5,-0.9999992685897241
2356,1.4996817313812858,4190,2.6670910248249524,2.66723259762309,0.04172858225109399,0.04171309033511639,0.7498408656906429,1.333616298811545,1.3335455124124762,0.7498806682577566,-0.8646201617953799
3142,2.0,3142,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9999999999999999
3928,2.500318268618714,2513,1.599618077657543,1.59979633401222,0.02502865065773352,0.025053743449403698,1.250159134309357,0.79989816700611,0.7998090388287715,1.2502984480700357,-0.951845352726628
4713,3.0,2095,1.3335455124124762,1.3333333333333333,0.08333333333333326,0.08326704636087556,1.5,0.6666666666666666,0.6667727562062381,1.4997613365155131,0.5000045576253439
5027,3.1998726925525145,1964,1.250159134309357,1.250049731450169,0.11248060600067089,0.11243795058344919,1.5999363462762572,0.6250248657250845,0.6250795671546785,1.59979633401222,0.9876705253073663
6284,4.0,1571,1.0,1.0,0.25,0.25,2.0,0.5,0.5,2.0,-0.9999992685897241
7855,5.0,1257,0.8001273074474857,0.8,0.44999999999999996,0.44983294062479906,2.5,0.4,0.40006365372374286,2.499602227525855,0.8082561587067046
9426,6.0,1047,0.6664544875875239,0.6666666666666666,0.6666666666666667,0.6670911768156966,3.0,0.3333333333333333,0.33322724379376195,3.0009551098376313,-0.49755856726406844
10054,6.399745385105029,982,0.6250795671546785,0.6250248657250845,0.7561925627075283,0.7560662258008897,3.1998726925525145,0.31251243286254227,0.31253978357733925,3.19959266802444,0.7612354904694938
10997,7.0,898,0.5716104392106939,0.5714285714285714,0.8928571428571428,0.8923458169296221,3.5,0.2857142857142857,0.28580521960534694,3.498886414253897,0.22055083790198324
12568,8.0,786,0.5003182686187142,0.5,1.125,1.1238073025236353,4.0,0.25,0.2501591343093571,3.9974554707379135,0.0020236781040353265
14139,9.0,698,0.4443029917250159,0.4444444444444444,1.3611111111111112,1.3617920803094772,4.5,0.2222222222222222,0.22215149586250796,4.501432664756447,-0.17748137467248987
15710,10.0,628,0.39974538510502866,0.4,1.6,1.601528702964155,5.0,0.2,0.19987269255251433,5.003184713375796,0.3134553340056089
17281,11.0,571,0.3634627625716104,0.36363636363636365,1.8409090909090908,1.8421791757567378,5.5,0.18181818181818182,0.1817313812858052,5.502626970227671,-0.4198069214088359
18852,12.0,524,0.33354551241247615,0.3333333333333333,2.0833333333333335,2.081477981156554,6.0,0.16666666666666666,0.16677275620623808,5.99618320610687,0.50349191692629
20423,13.0,483,0.30744748567791214,0.3076923076923077,2.326923076923077,2.3294498631379046,6.5,0.15384615384615385,0.15372374283895607,6.505175983436853,-0.5728991447418226
21994,14.0,449,0.28580521960534694,0.2857142857142857,2.5714285714285716,2.570337719155234,7.0,0.14285714285714285,0.14290260980267347,6.997772828507794,0.627580587665906
23565,15.0,419,0.26670910248249524,0.26666666666666666,2.816666666666667,2.8160806169094066,7.5,0.13333333333333333,0.13335455124124762,7.498806682577565,-0.6734343833421284
25136,16.0,393,0.2501591343093571,0.25,3.0625,3.059995254315253,8.0,0.125,0.12507956715467855,7.994910941475827,0.7112310393520346
26707,17.0,370,0.23551877784850414,0.23529411764705882,3.3088235294117645,3.3048256404080725,8.5,0.11764705882352941,0.11775938892425207,8.491891891891893,-0.7430731860899459
28278,18.0,349,0.22215149586250796,0.2222222222222222,3.5555555555555554,3.556970538722074,9.0,0.1111111111111111,0.11107574793125398,9.002865329512893,0.7707733381066161
29849,19.0,331,0.21069382558879696,0.21052631578947367,3.802631578947368,3.7988970213518822,9.5,0.10526315789473684,0.10534691279439848,9.492447129909365,-0.7934503283265222
31420,20.0,314,0.19987269255251433,0.2,4.05,4.053152886513924,10.0,0.1,0.09993634627625717,10.006369426751592,0.8139156290859116
32991,21.0,299,0.19032463399108848,0.19047619047619047,4.2976190476190474,4.301761760504461,10.5,0.09523809523809523,0.09516231699554424,10.508361204013378,-0.831200462539538
34562,22.0,286,0.1820496499045194,0.18181818181818182,4.545454545454546,4.5385194054831235,11.0,0.09090909090909091,0.0910248249522597,10.986013986013987,0.8455884673795269
36133,23.0,273,0.17377466581795034,0.17391304347826086,4.793478260869565,4.7980224210332425,11.5,0.08695652173913043,0.08688733290897517,11.50915750915751,-0.859387025710468
37704,24.0,262,0.16677275620623808,0.16666666666666666,5.041666666666667,5.037876395158429,12.0,0.08333333333333333,0.08338637810311904,11.99236641221374,0.8706257075796244
39275,25.0,251,0.15977084659452578,0.16,5.29,5.298906855074926,12.5,0.08,0.07988542329726289,12.51792828685259,-0.881427440566076
40846,26.0,242,0.15404201145767027,0.15384615384615385,5.538461538461538,5.5302460400545,13.0,0.07692307692307693,0.07702100572883513,12.983471074380166,0.8899698530747636
