m,j,gap,side,k_snap,r_out,r_in,gm,am,tension,hx,hy,atan2,Px,Py,leg_chord,leg_path,leg_chord_over_path,k_frozen
1,1571,1571,down,1.0,0.5,2.0,1.0,1.25,0.25,-0.9999999187321826,-0.00040315707600782115,-3.1411894965028644,-0.4999999593660913,-0.00020157853800391057,0.0,0.0,1.0,1.0
2,3142,1571,up,2.0,1.0,1.0,1.0,1.0,0.0,0.9999996749287441,0.000806314086489694,0.0008063141738595496,0.9999996749287441,0.000806314086489694,1.4999999729107272,2.409894207647293,0.6224339508974263,2.0
3,4713,1571,down,3.0,1.5,0.6666666666666666,1.0,1.0833333333333333,0.08333333333333326,-0.9999992685897239,-0.0012094709659134736,-3.1403831823290065,-1.499998902884586,-0.0018142064488702104,2.4999999512393094,3.9586313753895204,0.6315313839984191,3.0
4,6284,1571,up,4.0,2.0,0.5,1.0,1.25,0.25,0.999998699715188,0.0016126276487535864,0.0016126283477123629,1.999997399430376,0.0032252552975071728,3.4999999303418705,5.520345477970991,0.6340182773539564,4.0
5,7854,1570,down,5.0,2.5,0.4,1.0,1.45,0.44999999999999996,-0.9999999998753679,-1.5788101300492292e-05,-3.141576865488492,-2.49999999968842,-3.947025325123073e-05,4.499998583389648,7.081225644658397,0.6354830094680215,4.999363462762572
6,9425,1571,up,6.0,3.0,0.3333333333333333,1.0,1.6666666666666667,0.6666666666666667,0.999999912242466,0.0004189451759738848,0.00041894518822908374,2.999999736727398,0.0012568355279216545,5.499999889180248,8.654543455279049,0.6355043356822467,5.999363462762572
7,10996,1571,down,7.0,3.5,0.2857142857142857,1.0,1.8928571428571428,0.8928571428571428,-0.9999996620739438,-0.0008221021825539627,-3.140770551314636,-3.499998817258803,-0.0028773576389388694,6.4999998687212175,10.222751001691833,0.6358366615449684,6.999363462762572
8,12567,1571,up,8.0,4.0,0.25,1.0,2.125,1.125,0.9999992493698417,0.0012252590555122374,0.0012252593620844623,3.999996997479367,0.00490103622204895,7.499999848300074,11.792120801734185,0.6360178948639248,7.999363462762572
9,14138,1571,down,9.0,4.5,0.2222222222222222,1.0,2.361111111111111,1.3611111111111112,-0.9999986741302272,-0.0016284157293224063,-3.139964237140781,-4.499994033586023,-0.007327870781950828,8.499999827903444,13.361869062282535,0.6361385363292458,8.999363462762572
10,15708,1570,up,10.0,5.0,0.2,1.0,2.6,1.6,0.9999999995014718,3.1576202594971185e-05,3.157620260021839e-05,4.999999997507359,0.00015788101297485593,9.499996980383196,14.921877327751577,0.6366489129833004,9.998726925525144
11,17279,1571,down,11.0,5.5,0.18181818181818182,1.0,2.840909090909091,1.8409090909090908,-0.9999999055034849,-0.00043473327583298907,-3.141157920300267,-5.499999480269167,-0.00239103301708144,10.499999787155716,16.5026062423294,0.636263123107372,10.998726925525144
12,18850,1571,up,12.0,6.0,0.16666666666666666,1.0,3.0833333333333335,2.0833333333333335,0.999999648969879,0.0008378902784127703,0.0008378903764543593,5.999997893819274,0.0050273416704766215,11.499999766796694,18.07241801660228,0.6363287832448422,11.998726925525144
13,20421,1571,down,13.0,6.5,0.15384615384615385,1.0,3.326923076923077,2.326923076923077,-0.9999992299006958,-0.00124104714480407,-3.1403516061264125,-6.499994994354522,-0.008066806441226456,12.499999746444407,19.642868060402318,0.6363632697631828,12.998726925525144
14,21992,1571,up,14.0,7.0,0.14285714285714285,1.0,3.5714285714285716,2.5714285714285716,0.9999986482960028,0.0016442038094838561,0.0016442045503098773,6.999990538072019,0.011509426666386994,13.499999726097354,21.21339601768412,0.6363903127459343,13.998726925525144
15,23562,1570,down,15.0,7.5,0.13333333333333333,1.0,3.816666666666667,2.816666666666667,-0.9999999988783113,-4.736430387753428e-05,-3.141545289285898,-7.499999991587335,-0.0003552322790815071,14.49999538380419,22.768986723704305,0.6368309472774454,14.998090388287714
16,25133,1571,up,16.0,8.0,0.125,1.0,4.0625,3.0625,0.9999998985152398,0.000450521375581482,0.0004505213908218339,7.999999188121919,0.003604171004651856,15.499999685414895,24.35515073810036,0.6364156745360328,15.998090388287714
17,26704,1571,down,17.0,8.5,0.11764705882352941,1.0,4.3088235294117645,3.3088235294117645,-0.9999996356165504,-0.0008536783740613433,-3.140738975112043,-8.499996902740678,-0.007256266179521418,16.49999966507808,25.92532061858268,0.6364434179167394,16.998090388287714
18,28275,1571,up,18.0,9.0,0.1111111111111111,1.0,4.555555555555555,3.5555555555555554,0.9999992101822857,0.0012568352337860972,0.0012568355646764456,8.99999289164057,0.011311517104074876,17.49999964474354,27.496047721317016,0.6364550942780121,17.998090388287714
19,29846,1571,down,19.0,9.5,0.10526315789473684,1.0,4.802631578947368,3.802631578947368,-0.9999986222125148,-0.0016599918892302534,-3.1399326609381903,-9.49998691101889,-0.015769922947687406,18.499999624410894,29.066801804369632,0.6364649179129771,18.998090388287714
20,31416,1570,up,20.0,10.0,0.1,1.0,5.05,4.05,0.9999999980058869,6.315240514847107e-05,6.315240519044875e-05,9.999999980058869,0.0006315240514847107,19.49999378870845,30.617579545157145,0.6368888095790972,19.997453851050288
21,32987,1571,down,21.0,10.5,0.09523809523809523,1.0,5.2976190476190474,4.2976190476190474,-0.9999998912777307,-0.00046630947521820044,-3.1411263440976755,-10.499998858416172,-0.0048962494897911045,20.4999995837502,32.20889382334148,0.6364701531256577,20.997453851050288
22,34558,1571,up,22.0,11.0,0.09090909090909091,1.0,5.545454545454546,4.545454545454546,0.9999996220139576,0.0008694664694973076,0.0008694665790460542,10.999995842153535,0.009564131164470384,21.49999956342172,33.7791992785377,0.6364863591388379,21.997453851050288
