p_cut,sigma,t,re,im,abs
5,0.2,0.0,142.2930614851103,0.0,142.2930614851103
5,0.2,5.0,0.49026267763239406,0.2753268374714963,0.5622831675511374
5,0.2,14.0,0.17837167578394367,0.038123798069428456,0.18240032538680098
5,0.2,25.0,0.28055010213002907,0.035934900233878464,0.2828421412378087
5,0.2,40.0,1.6815019719979936,-1.5302779266403124,2.2735873448354065
5,0.35,0.0,33.766376108060946,0.0,33.766376108060946
5,0.35,5.0,0.5860262689682535,0.2645896344638647,0.6429886955356007
5,0.35,14.0,0.22101523372457804,0.04133367645693707,0.22484707324707745
5,0.35,25.0,0.3424438096730901,0.0495793180631605,0.346014264970431
5,0.35,40.0,1.2355093321698776,-1.0065063147175342,1.593592881336111
5,0.5,0.0,14.613449167271433,0.0,14.613449167271433
5,0.5,5.0,0.658393214479742,0.24369829449123692,0.7020473514022435
5,0.5,14.0,0.26719463975175145,0.043403336567827994,0.27069692487593644
5,0.5,25.0,0.40675719566351465,0.06473896645469071,0.4118768626685266
5,0.5,40.0,1.0919496348602635,-0.7456077248589993,1.3222272438733351
5,0.65,0.0,8.327184501534045,0.0,8.327184501534045
5,0.65,5.0,0.7095561553747307,0.22058344476342318,0.7430524838353393
5,0.65,14.0,0.3156951291925483,0.044327725528741035,0.31879203541878387
5,0.65,25.0,0.4712519098664339,0.08038537193763567,0.478058752220178
5,0.65,40.0,1.0247838639261795,-0.581689646361917,1.1783653136647065
5,0.8,0.0,5.548819224925817,0.0,5.548819224925817
5,0.8,5.0,0.7451193860316031,0.19907856812542035,0.7712555839194818
5,0.8,14.0,0.36527377471030864,0.04423869369198657,0.3679429201801425
5,0.8,25.0,0.5339377669155636,0.09541929449654533,0.542396884855543
5,0.8,40.0,0.9856929927354656,-0.4669944227079184,1.0907219933457382
13,0.2,0.0,2887.1039028204227,0.0,2887.1039028204227
13,0.2,5.0,0.801886825262204,1.0065316460206453,1.2869065369987542
13,0.2,14.0,0.06769454382293093,-0.005907256169342196,0.06795179864319227
13,0.2,25.0,0.1377918476288162,0.028322273133028215,0.14067247217698547
13,0.2,40.0,-0.30122830271481144,-0.7902509111213835,0.8457156690546905
13,0.35,0.0,203.1440643214805,0.0,203.1440643214805
13,0.35,5.0,0.7824487926165156,0.6723648816325134,1.0316494788055421
13,0.35,14.0,0.11253869405634426,-0.009027153454696464,0.11290016456764841
13,0.35,25.0,0.21198639706582836,0.05735513819683058,0.2196083887708495
13,0.35,40.0,-0.02205948718617262,-0.7960623106100017,0.7963678944738114
13,0.5,0.0,46.542556921933425,0.0,46.542556921933425
13,0.5,5.0,0.7754696702799921,0.4837603988652682,0.9139897882550128
13,0.5,14.0,0.16720719941240764,-0.0111625085848941,0.16757938158749866
13,0.5,25.0,0.2921882557090153,0.08761525265066909,0.305041651699104
13,0.5,40.0,0.2308892858818927,-0.7786858657859077,0.8121955059650349
13,0.65,0.0,18.113750380428865,0.0,18.113750380428865
13,0.65,5.0,0.7732473293902536,0.37120004653194866,0.8577300898035933
13,0.65,14.0,0.22779915248206123,-0.011365076676357798,0.22808248253516725
13,0.65,25.0,0.37393024061334745,0.11389768797758916,0.3908919392514972
13,0.65,40.0,0.43770782242787065,-0.7110163326782364,0.8349445269895222
13,0.8,0.0,9.456443921828557,0.0,9.456443921828557
13,0.8,5.0,0.7754803807844106,0.298392701549857,0.8309079523748443
13,0.8,14.0,0.2907074751799345,-0.009525753570879883,0.2908635008153917
13,0.8,25.0,0.45369679979292116,0.1342830803890156,0.47315191199138235
13,0.8,40.0,0.5892792393425531,-0.6172574160297291,0.8533795987506592
31,0.2,0.0,132217.81773040292,0.0,132217.81773040292
31,0.2,5.0,0.2276323269036802,0.2553137658233141,0.342054959429718
31,0.2,14.0,0.034789267648329035,0.0018436169286935537,0.03483808357081139
31,0.2,25.0,0.030705740273678138,0.0074469915737664615,0.031595888486547236
31,0.2,40.0,1.3001338240194986,-2.389939538428473,2.720690897125814
31,0.35,0.0,1556.5204046420902,0.0,1556.5204046420902
31,0.35,5.0,0.3758053054942066,0.2738366957405848,0.4649904983671339
31,0.35,14.0,0.0674848415658947,-0.0012978418554625646,0.067497320203514
31,0.35,25.0,0.08429005279566693,0.023908089300540863,0.08761512274886656
31,0.35,40.0,0.7269742959607371,-1.3860240972836224,1.5651052441412654
31,0.5,0.0,150.80478198164698,0.0,150.80478198164698
31,0.5,5.0,0.5023625149057206,0.25879309106601284,0.565103495269585
31,0.5,14.0,0.1178992724849771,-0.004871200408899257,0.11799986036394508
31,0.5,25.0,0.16679151942059908,0.04994582105930381,0.17410914965021246
31,0.5,40.0,0.6858599826428082,-1.0124695909542112,1.222905797025176
31,0.65,0.0,36.6293009159053,0.0,36.6293009159053
31,0.65,5.0,0.5954706247512571,0.23489498212782844,0.6401257045069236
31,0.65,14.0,0.18121584160017407,-0.007607417973482281,0.18137545053033677
31,0.65,25.0,0.2660515876754417,0.07940552847719709,0.27764849226560945
31,0.65,40.0,0.7255905999531554,-0.79579783747928,1.076928928424285
31,0.8,0.0,14.54080250644948,0.0,14.54080250644948
31,0.8,5.0,0.6612873682872051,0.21154667567333746,0.6943003524733787
31,0.8,14.0,0.2509934095312053,-0.008300039323713787,0.2511306080127919
31,0.8,25.0,0.3687997927513684,0.10638305765341942,0.3838367388475771
31,0.8,40.0,0.7710072698317572,-0.6401400212401988,1.0021134950327844
97,0.2,0.0,441968667.5237334,0.0,441968667.5237334
97,0.2,5.0,0.27586738390445287,-0.07181012098119345,0.2850605321289154
97,0.2,14.0,0.030151360811072336,-0.02986790715438385,0.04244050466879915
97,0.2,25.0,0.03773528776190088,0.009952741782780694,0.03902574805776534
97,0.2,40.0,-0.30439983111199087,-10.076472399479373,10.081069153351276
97,0.35,0.0,69906.28225646332,0.0,69906.28225646332
97,0.35,5.0,0.43241011797842316,-0.005303699169109263,0.4324426428498816
97,0.35,14.0,0.06673036806564712,-0.03260575404383005,0.07427029836309719
97,0.35,25.0,0.09833595445282184,0.020955718941013876,0.10054403062580204
97,0.35,40.0,0.7594662202727054,-3.095573063080502,3.1873753353825327
97,0.5,0.0,1041.7177334135397,0.0,1041.7177334135397
97,0.5,5.0,0.5592406105458022,0.06596437830355759,0.5631175363000308
97,0.5,14.0,0.1184044584413669,-0.03462744925243604,0.12336399807287139
97,0.5,25.0,0.18439461309510455,0.04320193480296318,0.18938791014532258
97,0.5,40.0,0.8405197641202153,-1.5846857509842596,1.7937955299446058
97,0.65,0.0,101.16072717859542,0.0,101.16072717859542
97,0.65,5.0,0.64451741063504,0.11734441488909461,0.655112512716221
97,0.65,14.0,0.18224028668230832,-0.033245034702682384,0.18524781894109438
97,0.65,25.0,0.2823712517175726,0.07175199242234988,0.2913449368242491
97,0.65,40.0,0.8447568807180953,-1.0200249224870643,1.3244112012571125
97,0.8,0.0,25.03514609091537,0.0,25.03514609091537
97,0.8,5.0,0.699023195543227,0.14469626908301572,0.713842026077205
97,0.8,14.0,0.2521664746663568,-0.02846242358107952,0.2537676900272514
97,0.8,25.0,0.38130202998630475,0.09969641011873068,0.3941200480338941
97,0.8,40.0,0.8475909781507542,-0.7337912836338424,1.1210977273099587
199,0.2,0.0,7003331769548.474,0.0,7003331769548.474
199,0.2,5.0,10.122494986246172,-1.158373676951138,10.188558991438985
199,0.2,14.0,0.007304447465889214,-0.005429109558601328,0.00910110890942591
199,0.2,25.0,0.015608776020095815,0.017338196517620596,0.02332910086842502
199,0.2,40.0,5.662096728063959,-7.59728980848163,9.475133339009611
199,0.35,0.0,3961139.065238326,0.0,3961139.065238326
199,0.35,5.0,2.2880793395255545,0.5354650899167723,2.349899982229728
199,0.35,14.0,0.03241832975028358,-0.01688654324129002,0.03655274882191597
199,0.35,25.0,0.06309370425408228,0.03100837873847888,0.07030174299752852
199,0.35,40.0,1.5640473174337313,-2.5990384226332988,3.0333553589211792
199,0.5,0.0,6422.019622031583,0.0,6422.019622031583
199,0.5,5.0,1.1925169936860593,0.3600640648669452,1.2456897330549628
199,0.5,14.0,0.08356076392198661,-0.0286554189977396,0.08833761546001791
199,0.5,25.0,0.1455185993200696,0.05182370035145275,0.15447122277690473
199,0.5,40.0,1.0135864836836008,-1.4190820214006556,1.743889716515542
199,0.65,0.0,235.30412969369914,0.0,235.30412969369914
199,0.65,5.0,0.9102662324740478,0.2691863023584927,0.949234364822479
199,0.65,14.0,0.15432537259718346,-0.03373246890195661,0.15796898456811378
199,0.65,25.0,0.24941779191798635,0.07735034169391866,0.2611365740094825
199,0.65,40.0,0.8914180088893079,-0.9547174304090995,1.3061820081822946
199,0.8,0.0,37.240784966347434,0.0,37.240784966347434
199,0.8,5.0,0.8187557322604678,0.22264606786962984,0.8484881971171919
199,0.8,14.0,0.2329692167111694,-0.03147492774781054,0.23508578649451717
199,0.8,25.0,0.35762671887640246,0.10283199005720937,0.3721173043993351
199,0.8,40.0,0.8616544822985601,-0.705998442714862,1.1139489431661622
200,0.2,0.0,7003331769548.474,0.0,7003331769548.474
200,0.2,5.0,10.122494986246172,-1.158373676951138,10.188558991438985
200,0.2,14.0,0.007304447465889214,-0.005429109558601328,0.00910110890942591
200,0.2,25.0,0.015608776020095815,0.017338196517620596,0.02332910086842502
200,0.2,40.0,5.662096728063959,-7.59728980848163,9.475133339009611
200,0.35,0.0,3961139.065238326,0.0,3961139.065238326
200,0.35,5.0,2.2880793395255545,0.5354650899167723,2.349899982229728
200,0.35,14.0,0.03241832975028358,-0.01688654324129002,0.03655274882191597
200,0.35,25.0,0.06309370425408228,0.03100837873847888,0.07030174299752852
