n,sigma,abs_chi_proxy,on_cut
5,0.2,2.6265278044037674,0
5,0.35,1.6206565966927624,0
5,0.5,1.0,1
5,0.65,0.6170338627200096,0
5,0.8,0.3807307877431757,0
13,0.2,4.659786420036066,0
13,0.35,2.15865384442158,0
13,0.5,1.0,1
13,0.65,0.4632516707503671,0
13,0.8,0.21460211045300656,0
97,0.2,15.561915061393073,0
97,0.35,3.944859320862162,0
97,0.5,1.0,1
97,0.65,0.25349446422881483,0
97,0.8,0.06425944339465388,0
200,0.2,24.02248867962863,0
200,0.35,4.901274189394901,0
200,0.5,1.0,1
200,0.65,0.2040285773368369,0
200,0.8,0.04162766037009363,0
