n,origin,inv,is_prime
1,0.5,1.0,0
2,1.0,0.5,1
3,1.5,0.3333333333333333,1
4,2.0,0.25,0
5,2.5,0.2,1
6,3.0,0.16666666666666666,0
7,3.5,0.14285714285714285,1
8,4.0,0.125,0
9,4.5,0.1111111111111111,0
10,5.0,0.1,0
11,5.5,0.09090909090909091,1
12,6.0,0.08333333333333333,0
13,6.5,0.07692307692307693,1
14,7.0,0.07142857142857142,0
15,7.5,0.06666666666666667,0
16,8.0,0.0625,0
17,8.5,0.058823529411764705,1
18,9.0,0.05555555555555555,0
19,9.5,0.05263157894736842,1
20,10.0,0.05,0
21,10.5,0.047619047619047616,0
22,11.0,0.045454545454545456,0
23,11.5,0.043478260869565216,1
24,12.0,0.041666666666666664,0
25,12.5,0.04,0
26,13.0,0.038461538461538464,0
27,13.5,0.037037037037037035,0
28,14.0,0.03571428571428571,0
29,14.5,0.034482758620689655,1
30,15.0,0.03333333333333333,0
31,15.5,0.03225806451612903,1
32,16.0,0.03125,0
33,16.5,0.030303030303030304,0
34,17.0,0.029411764705882353,0
35,17.5,0.02857142857142857,0
36,18.0,0.027777777777777776,0
37,18.5,0.02702702702702703,1
38,19.0,0.02631578947368421,0
39,19.5,0.02564102564102564,0
40,20.0,0.025,0
41,20.5,0.024390243902439025,1
42,21.0,0.023809523809523808,0
43,21.5,0.023255813953488372,1
44,22.0,0.022727272727272728,0
45,22.5,0.022222222222222223,0
46,23.0,0.021739130434782608,0
47,23.5,0.02127659574468085,1
48,24.0,0.020833333333333332,0
49,24.5,0.02040816326530612,0
50,25.0,0.02,0
51,25.5,0.0196078431372549,0
52,26.0,0.019230769230769232,0
53,26.5,0.018867924528301886,1
54,27.0,0.018518518518518517,0
55,27.5,0.01818181818181818,0
56,28.0,0.017857142857142856,0
57,28.5,0.017543859649122806,0
58,29.0,0.017241379310344827,0
59,29.5,0.01694915254237288,1
60,30.0,0.016666666666666666,0
61,30.5,0.01639344262295082,1
62,31.0,0.016129032258064516,0
63,31.5,0.015873015873015872,0
