n,reducible_count,totient_predicted,match,twocos,is_prime
2,0,0,1,1.2246467991473532e-16,1
3,0,0,1,1.0000000000000002,1
4,1,1,1,1.4142135623730951,0
5,0,0,1,1.618033988749895,1
6,3,3,1,1.7320508075688774,0
7,0,0,1,1.8019377358048383,1
8,3,3,1,1.8477590650225735,0
9,2,2,1,1.8793852415718169,0
10,5,5,1,1.902113032590307,0
11,0,0,1,1.9189859472289947,1
12,7,7,1,1.9318516525781366,0
13,0,0,1,1.941883634852104,1
14,7,7,1,1.9498558243636472,0
15,6,6,1,1.9562952014676114,0
16,7,7,1,1.9615705608064609,0
17,0,0,1,1.9659461993678036,1
18,11,11,1,1.969615506024416,0
19,0,0,1,1.9727226068054446,1
20,11,11,1,1.9753766811902755,0
21,8,8,1,1.977661652450257,0
22,11,11,1,1.9796428837618654,0
23,0,0,1,1.9813718920726615,1
24,15,15,1,1.9828897227476208,0
25,4,4,1,1.9842294026289558,0
26,13,13,1,1.985417748196108,0
27,8,8,1,1.986476715483886,0
28,15,15,1,1.9874244197864852,0
29,0,0,1,1.9882759143087192,1
30,21,21,1,1.9890437907365466,0
31,0,0,1,1.9897386467837903,1
32,15,15,1,1.9903694533443939,0
33,12,12,1,1.9909438451461692,0
34,17,17,1,1.991468352590069,0
35,10,10,1,1.9919485879904781,0
36,23,23,1,1.992389396183491,0
37,0,0,1,1.992794977085053,1
38,19,19,1,1.9931689860133397,0
39,14,14,1,1.99351461626842,0
40,23,23,1,1.993834667466256,0
41,0,0,1,1.9941316023674809,1
42,29,29,1,1.9944075943623603,0
43,0,0,1,1.9946645673271033,1
44,23,23,1,1.994904229220507,0
45,20,20,1,1.9951281005196484,0
46,23,23,1,1.9953375383810783,0
47,0,0,1,1.9955337572463063,1
48,31,31,1,1.995717846477207,0
49,6,6,1,1.9958907855006727,0
50,29,29,1,1.9960534568565431,0
51,18,18,1,1.9962066574740882,0
52,27,27,1,1.996351108446635,0
53,0,0,1,1.996487463528643,1
54,35,35,1,1.9966163165425364,0
55,14,14,1,1.9967382078522713,0
56,31,31,1,1.9968536300356332,0
57,20,20,1,1.9969630328666323,0
58,29,29,1,1.9970668277022476,0
59,0,0,1,1.9971653913535239,1
60,43,43,1,1.9972590695091477,0
