n,k,x,y
1,0,3.061616997868383e-17,0.5
2,0,6.123233995736766e-17,1.0
2,1,-1.8369701987210297e-16,-1.0
3,0,9.184850993605148e-17,1.5
3,1,-1.2990381056766582,-0.7499999999999996
3,2,1.2990381056766576,-0.7500000000000007
4,0,1.2246467991473532e-16,2.0
4,1,-2.0,2.4492935982947064e-16
4,2,-3.6739403974420594e-16,-2.0
4,3,2.0,-4.898587196589413e-16
5,0,1.5308084989341916e-16,2.5
5,1,-2.3776412907378837,0.7725424859373687
5,2,-1.4694631307311832,-2.022542485937368
5,3,1.4694631307311823,-2.022542485937369
5,4,2.377641290737884,0.772542485937368
6,0,1.8369701987210297e-16,3.0
6,1,-2.5980762113533156,1.5000000000000009
6,2,-2.5980762113533165,-1.4999999999999991
6,3,-5.51091059616309e-16,-3.0
6,4,2.598076211353315,-1.5000000000000013
6,5,2.598076211353316,1.5
7,0,2.143131898507868e-16,3.5
7,1,-2.7364101886381045,2.1822143065055677
7,2,-3.4122476926363827,-0.7788232688471
7,3,-1.5185930869114541,-3.1533910376584666
7,4,1.5185930869114528,-3.1533910376584675
7,5,3.4122476926363823,-0.7788232688471013
7,6,2.736410188638105,2.182214306505567
8,0,2.4492935982947064e-16,4.0
8,1,-2.82842712474619,2.8284271247461903
8,2,-4.0,4.898587196589413e-16
8,3,-2.8284271247461907,-2.82842712474619
8,4,-7.347880794884119e-16,-4.0
8,5,2.8284271247461894,-2.8284271247461907
8,6,4.0,-9.797174393178826e-16
8,7,2.8284271247461907,2.8284271247461894
9,0,2.755455298081545e-16,4.5
9,1,-2.8925442435894273,3.447199994035401
9,2,-4.431634888554936,0.7814167995011863
9,3,-3.897114317029975,-2.2499999999999987
9,4,-1.5390906449655084,-4.228616793536588
9,5,1.5390906449655066,-4.228616793536588
9,6,3.8971143170299727,-2.2500000000000018
9,7,4.431634888554937,0.7814167995011846
9,8,2.892544243589428,3.4471999940354
10,0,3.061616997868383e-16,5.0
10,1,-2.938926261462365,4.045084971874737
10,2,-4.755282581475767,1.5450849718747375
10,3,-4.755282581475768,-1.5450849718747364
10,4,-2.9389262614623664,-4.045084971874736
10,5,-9.184850993605148e-16,-5.0
10,6,2.9389262614623646,-4.045084971874738
10,7,4.755282581475767,-1.5450849718747381
10,8,4.755282581475768,1.545084971874736
10,9,2.938926261462367,4.045084971874736
11,0,3.3677786976552215e-16,5.5
11,1,-2.973524496005787,4.626894430571496
11,2,-5.002975974449852,2.284782571510375
11,3,-5.44401793034513,-0.782731610503067
11,4,-4.156622658948421,-3.6017340366990673
11,5,-1.5495290626278635,-5.277211354879736
11,6,1.5495290626278613,-5.277211354879736
11,7,4.156622658948418,-3.6017340366990704
11,8,5.4440179303451295,-0.7827316105030692
11,9,5.002975974449852,2.284782571510373
11,10,2.9735244960057865,4.626894430571497
12,0,3.6739403974420594e-16,6.0
12,1,-2.9999999999999987,5.196152422706632
12,2,-5.196152422706631,3.0000000000000018
12,3,-6.0,7.347880794884119e-16
12,4,-5.196152422706633,-2.9999999999999982
12,5,-2.999999999999998,-5.196152422706633
12,6,-1.102182119232618e-15,-6.0
12,7,2.999999999999996,-5.196152422706634
12,8,5.19615242270663,-3.0000000000000027
12,9,6.0,-1.4695761589768238e-15
12,10,5.196152422706632,3.0
12,11,3.0000000000000036,5.19615242270663
13,0,3.9801020972288977e-16,6.5
13,1,-3.0207006182844953,5.755464166745864
13,2,-5.349395128308767,3.692420853752513
13,3,-6.4526076816373505,0.7834884216596
13,4,-6.077605577455197,-2.3049317657764816
13,5,-4.3102972785651685,-4.865319863112157
13,6,-1.5555518178691252,-6.311121813269338
13,7,1.555551817869123,-6.311121813269339
13,8,4.3102972785651685,-4.865319863112157
13,9,6.077605577455196,-2.304931765776484
13,10,6.4526076816373505,0.7834884216596004
13,11,5.349395128308771,3.6924208537525063
13,12,3.020700618284495,5.755464166745864
14,0,4.286263797015736e-16,7.0
14,1,-3.0371861738229065,6.306782075316934
14,2,-5.472820377276209,4.364428613011135
14,3,-6.8244953852727654,1.5576465376942015
14,4,-6.8244953852727654,-1.5576465376942
14,5,-5.472820377276209,-4.364428613011134
14,6,-3.0371861738229082,-6.306782075316933
14,7,-1.2858791391047208e-15,-7.0
14,8,3.0371861738229056,-6.306782075316935
14,9,5.472820377276208,-4.364428613011136
14,10,6.824495385272765,-1.5576465376942026
14,11,6.824495385272767,1.557646537694193
14,12,5.47282037727621,4.364428613011134
14,13,3.037186173822903,6.306782075316936
15,0,4.592425496802575e-16,7.5
15,1,-3.0505248230685003,6.851590932319508
15,2,-5.573586191080455,5.018479547691437
15,3,-7.132923872213651,2.3176274578121063
15,4,-7.458914215262051,-0.7839634745073979
15,5,-6.495190528383291,-3.749999999999998
15,6,-4.408389392193549,-6.067627457812105
15,7,-1.559337681133192,-7.336107005503543
15,8,1.5593376811331892,-7.3361070055035436
15,9,4.408389392193547,-6.067627457812106
15,10,6.495190528383288,-3.7500000000000036
15,11,7.45891421526205,-0.7839634745074073
15,12,7.132923872213652,2.3176274578121037
15,13,5.573586191080455,5.018479547691438
15,14,3.0505248230685016,6.851590932319507
16,0,4.898587196589413e-16,8.0
16,1,-3.061467458920718,7.391036260090294
16,2,-5.65685424949238,5.656854249492381
16,3,-7.391036260090294,3.061467458920719
16,4,-8.0,9.797174393178826e-16
16,5,-7.391036260090295,-3.0614674589207174
16,6,-5.6568542494923815,-5.65685424949238
16,7,-3.0614674589207227,-7.391036260090292
16,8,-1.4695761589768238e-15,-8.0
16,9,3.06146745892072,-7.391036260090293
16,10,5.656854249492379,-5.6568542494923815
16,11,7.391036260090292,-3.061467458920723
16,12,8.0,-1.959434878635765e-15
16,13,7.391036260090294,3.0614674589207196
16,14,5.6568542494923815,5.656854249492379
16,15,3.0614674589207236,7.391036260090292
17,0,5.204748896376251e-16,8.5
17,1,-3.0705541625908,7.926013949937024
17,2,-5.726412970995736,6.281575796375602
17,3,-7.608887976518029,3.788776024100576
17,4,-8.463740498507795,0.7842810554380657
17,5,-8.175517966968961,-2.326135415612704
17,6,-6.783146431882036,-5.122394409223678
17,7,-4.474673384457527,-7.226845653701719
17,8,-1.5618709014408447,-8.355271347313167
17,9,1.5618709014408418,-8.355271347313167
17,10,4.474673384457525,-7.22684565370172
17,11,6.78314643188203,-5.122394409223686
