n,R,inv,lock,mid,B1,B2,apothem,side,twocos,half_walk,is_prime
1,0.5,1.0,1.0,0.25,0.30901699437494745,0.1909830056250526,nan,nan,nan,1.5707963267948966,0
2,1.0,0.5,1.0,0.5,0.6180339887498949,0.3819660112501052,nan,2.0,1.2246467991473532e-16,3.141592653589793,1
3,1.5,0.3333333333333333,1.0,0.75,0.9270509831248424,0.5729490168751579,0.7500000000000002,2.598076211353316,1.0000000000000002,4.71238898038469,1
4,2.0,0.25,1.0,1.0,1.2360679774997898,0.7639320225002104,1.4142135623730951,2.82842712474619,1.4142135623730951,6.283185307179586,0
5,2.5,0.2,1.0,1.25,1.5450849718747373,0.954915028125263,2.0225424859373686,2.938926261462366,1.618033988749895,7.853981633974483,1
6,3.0,0.16666666666666666,1.0,1.5,1.8541019662496847,1.1458980337503157,2.598076211353316,2.9999999999999996,1.7320508075688774,9.42477796076938,0
7,3.5,0.14285714285714285,1.0,1.75,2.163118960624632,1.3368810393753683,3.153391037658467,3.037186173822907,1.8019377358048383,10.995574287564276,1
8,4.0,0.125,1.0,2.0,2.4721359549995796,1.5278640450004208,3.695518130045147,3.0614674589207183,1.8477590650225735,12.566370614359172,0
9,4.5,0.1111111111111111,1.0,2.25,2.781152949374527,1.7188470506254734,4.228616793536588,3.0781812899310186,1.8793852415718169,14.137166941154069,0
10,5.0,0.1,1.0,2.5,3.0901699437494745,1.909830056250526,4.755282581475767,3.090169943749474,1.902113032590307,15.707963267948966,0
11,5.5,0.09090909090909091,1.0,2.75,3.399186938124422,2.1008130618755785,5.277211354879736,3.0990581252557265,1.9189859472289947,17.27875959474386,1
12,6.0,0.08333333333333333,1.0,3.0,3.7082039324993694,2.2917960675006315,5.79555495773441,3.105828541230249,1.9318516525781366,18.84955592153876,0
13,6.5,0.07692307692307693,1.0,3.25,4.017220926874317,2.482779073125684,6.311121813269338,3.1111036357382504,1.941883634852104,20.420352248333657,1
14,7.0,0.07142857142857142,1.0,3.5,4.326237921249264,2.6737620787507366,6.8244953852727654,3.1152930753884016,1.9498558243636472,21.991148575128552,0
15,7.5,0.06666666666666667,1.0,3.75,4.635254915624212,2.864745084375789,7.336107005503543,3.11867536226639,1.9562952014676114,23.561944901923447,0
16,8.0,0.0625,1.0,4.0,4.944271909999159,3.0557280900008417,7.8462822432258434,3.121445152258052,1.9615705608064609,25.132741228718345,0
17,8.5,0.058823529411764705,1.0,4.25,5.253288904374107,3.246711095625894,8.355271347313165,3.1237418028816957,1.9659461993678036,26.703537555513243,1
18,9.0,0.05555555555555555,1.0,4.5,5.562305898749054,3.4376941012509468,8.863269777109872,3.125667198004746,1.969615506024416,28.274333882308138,0
19,9.5,0.05263157894736842,1.0,4.75,5.871322893124002,3.6286771068759993,9.370432382325863,3.127297215333944,1.9727226068054446,29.845130209103033,1
20,10.0,0.05,1.0,5.0,6.180339887498949,3.819660112501052,9.876883405951379,3.1286893008046173,1.9753766811902755,31.41592653589793,0
21,10.5,0.047619047619047616,1.0,5.25,6.4893568818738965,4.010643118126104,10.382723675363849,3.1298875896996634,1.977661652450257,32.98672286269283,0
22,11.0,0.045454545454545456,1.0,5.5,6.798373876248844,4.201626123751157,10.888035860690259,3.130926442012273,1.9796428837618654,34.55751918948772,0
