n,k,gcd,reducible
2,1,1,0
3,1,1,0
3,2,1,0
4,1,1,0
4,2,2,1
4,3,1,0
5,1,1,0
5,2,1,0
5,3,1,0
5,4,1,0
6,1,1,0
6,2,2,1
6,3,3,1
6,4,2,1
6,5,1,0
7,1,1,0
7,2,1,0
7,3,1,0
7,4,1,0
7,5,1,0
7,6,1,0
8,1,1,0
8,2,2,1
8,3,1,0
8,4,4,1
8,5,1,0
8,6,2,1
8,7,1,0
9,1,1,0
9,2,1,0
9,3,3,1
9,4,1,0
9,5,1,0
9,6,3,1
9,7,1,0
9,8,1,0
10,1,1,0
10,2,2,1
10,3,1,0
10,4,2,1
10,5,5,1
10,6,2,1
10,7,1,0
10,8,2,1
10,9,1,0
11,1,1,0
11,2,1,0
11,3,1,0
11,4,1,0
11,5,1,0
11,6,1,0
11,7,1,0
11,8,1,0
11,9,1,0
11,10,1,0
12,1,1,0
12,2,2,1
12,3,3,1
12,4,4,1
12,5,1,0
12,6,6,1
12,7,1,0
12,8,4,1
12,9,3,1
12,10,2,1
12,11,1,0
13,1,1,0
13,2,1,0
13,3,1,0
13,4,1,0
13,5,1,0
13,6,1,0
13,7,1,0
13,8,1,0
13,9,1,0
13,10,1,0
13,11,1,0
13,12,1,0
14,1,1,0
14,2,2,1
14,3,1,0
14,4,2,1
14,5,1,0
14,6,2,1
14,7,7,1
14,8,2,1
14,9,1,0
14,10,2,1
14,11,1,0
14,12,2,1
14,13,1,0
15,1,1,0
15,2,1,0
15,3,3,1
15,4,1,0
15,5,5,1
15,6,3,1
15,7,1,0
15,8,1,0
15,9,3,1
15,10,5,1
15,11,1,0
15,12,3,1
15,13,1,0
15,14,1,0
16,1,1,0
16,2,2,1
16,3,1,0
16,4,4,1
16,5,1,0
16,6,2,1
16,7,1,0
16,8,8,1
16,9,1,0
16,10,2,1
16,11,1,0
16,12,4,1
16,13,1,0
16,14,2,1
16,15,1,0
17,1,1,0
17,2,1,0
17,3,1,0
17,4,1,0
17,5,1,0
17,6,1,0
17,7,1,0
17,8,1,0
17,9,1,0
17,10,1,0
17,11,1,0
17,12,1,0
17,13,1,0
17,14,1,0
17,15,1,0
17,16,1,0
18,1,1,0
18,2,2,1
18,3,3,1
18,4,2,1
18,5,1,0
18,6,6,1
18,7,1,0
18,8,2,1
18,9,9,1
18,10,2,1
18,11,1,0
18,12,6,1
18,13,1,0
18,14,2,1
18,15,3,1
