m,j,gap,side,hx,hy
1,1571,1571,down,-0.9999999187321829,-0.00040315707600664506
2,3142,1571,up,0.9999996749287441,0.0008063140864872236
3,4713,1571,down,-0.9999992685897239,-0.001209470965912509
4,6284,1571,up,0.999998699715188,0.001612627648753059
5,7854,1570,down,-0.9999999998753679,-1.5788101300051672e-05
6,9425,1571,up,0.999999912242466,0.00041894517597345537
7,10996,1571,down,-0.9999996620739438,-0.0008221021825523943
8,12567,1571,up,0.9999992493698417,0.00122525905551131
9,14138,1571,down,-0.9999986741302272,-0.0016284157293206148
10,15708,1570,up,0.9999999995014718,3.1576202594165406e-05
11,17279,1571,down,-0.9999999055034849,-0.00043473327583257317
12,18850,1571,up,0.999999648969879,0.000837890278411397
13,20421,1571,down,-0.9999992299006958,-0.0012410471448039582
14,21992,1571,up,0.9999986482960028,0.0016442038094849386
15,23562,1570,down,-0.9999999988783113,-4.736430387825028e-05
16,25133,1571,up,0.9999998985152398,0.00045052137558273706
17,26704,1571,down,-0.9999996356165504,-0.0008536783740608576
18,28275,1571,up,0.9999992101822857,0.0012568352337867241
19,29846,1571,down,-0.9999986222125146,-0.0016599918892318281
20,31416,1570,up,0.9999999980058869,6.315240515060825e-05
21,32987,1571,down,-0.9999998912777309,-0.0004663094752207688
22,34558,1571,up,0.9999996220139576,0.0008694664695005818
23,36129,1571,down,-0.9999991902146117,-0.001272623322459267
24,37700,1571,up,0.9999985958797626,0.0016757799685721906
25,39270,1570,down,-0.9999999968841982,-7.894050641200968e-05
26,40841,1571,up,0.9999998837909575,0.0004820975747467092
27,42412,1571,down,-0.9999996081621011,-0.000885254564724492
28,43983,1571,up,0.9999991699976738,0.0012884114108143243
29,45554,1571,down,-0.9999985692977468,-0.0016915680474927986
30,47124,1570,up,0.9999999955132454,9.472860765171998e-05
31,48695,1571,down,-0.9999998760549201,-0.0004978856741521174
32,50266,1571,up,0.9999995940609804,0.0009010426597262491
33,51837,1571,down,-0.9999991495314721,-0.0013041994988483951
34,53408,1571,up,0.9999985424664674,0.0017073561259953413
35,54978,1570,down,-0.9999999938930284,-0.00011051670887020903
36,56549,1571,up,0.9999998680696186,0.0005136737734344706
37,58120,1571,down,-0.9999995797105955,-0.0009168307545070712
38,59691,1571,up,0.9999991288160062,0.0013199875865626662
39,61262,1571,down,-0.9999985153859239,-0.0017231442040739808
40,62832,1570,up,0.9999999920235474,0.00012630481006319877
41,64403,1571,down,-0.9999998598350529,-0.0005294618725899146
42,65974,1571,up,0.9999995651109466,0.0009326188490603002
43,67545,1571,down,-0.9999991078512767,-0.0013357756739464377
44,69116,1571,up,0.9999984880561169,0.0017389322817226874
45,70686,1570,down,-0.9999999899048022,-0.0001420929112207807
46,72257,1571,up,0.9999998513512232,0.0005452499716094729
47,73828,1571,down,-0.9999995502620338,-0.0009484069433753203
48,75399,1571,up,0.999999086637283,0.0013515637609923439
49,76970,1571,down,-0.999998460477046,-0.0017547203589320024
50,78540,1570,up,0.999999987536793,0.00015788101234163866
51,80111,1571,down,-0.9999998426181292,-0.0005610380704940253
52,81682,1571,up,0.9999995351638569,0.0009641950374571343
53,83253,1571,down,-0.9999990651740254,-0.0013673518477025132
54,84824,1571,up,0.9999984326487114,0.0017705084357062498
55,86394,1570,down,-0.9999999849195194,-0.00017366911342600995
56,87965,1571,up,0.9999998336357715,0.000576826169239486
57,89536,1571,down,-0.9999995198164158,-0.0009799831312978658
58,91107,1571,up,0.9999990434615039,0.001383139934073919
59,92678,1571,down,-0.9999984045711129,-0.0017862965120414764
60,94248,1570,up,0.9999999820529818,0.00018945721446528795
61,95819,1571,down,-0.9999998244041494,-0.0005926142678407507
62,97390,1571,up,0.9999995042197108,0.0009957712248936795
63,98961,1571,down,-0.9999990214997186,-0.0013989280200981098
64,100532,1571,up,0.9999983762442507,0.0018020845879255934
65,102102,1570,down,-0.99999997893718,-0.00020524531545230545
66,103673,1571,up,0.9999998149232632,0.0006084023662894329
67,105244,1571,down,-0.9999994883737419,-0.001011559318238114
68,106815,1571,up,0.9999989992886694,0.001414716105770959
69,108386,1571,down,-0.9999983476681249,-0.0018178726633642458
70,109956,1570,up,0.9999999755721141,0.00022103341639425584
71,111527,1571,down,-0.999999805193113,-0.0006241904645899978
72,113098,1571,up,0.9999994722785089,0.001027347411331451
73,114669,1571,down,-0.9999989768283564,-0.001430504191093715
74,116240,1571,up,0.9999983188427352,0.0018336607383475812
75,117810,1570,down,-0.999999971957784,-0.00023682151727889893
76,119381,1571,up,0.9999997952136986,0.0006399785627353652
77,120952,1571,down,-0.9999994559340121,-0.0010431355041701298
78,122523,1571,up,0.9999989541187791,0.001446292276057962
79,124094,1571,down,-0.9999982897680818,-0.0018494488128745067
