m,r,r_in,am,gm,tau
1,1.0,1.0,1.0,1.0,0.0
2,2.0,0.5,1.25,1.0,0.25
3,3.0,0.3333333333333333,1.6666666666666667,1.0,0.6666666666666667
4,4.0,0.25,2.125,1.0,1.125
5,5.0,0.2,2.6,1.0,1.6
6,6.0,0.16666666666666666,3.0833333333333335,1.0,2.0833333333333335
7,7.0,0.14285714285714285,3.5714285714285716,1.0,2.5714285714285716
8,8.0,0.125,4.0625,1.0,3.0625
9,9.0,0.1111111111111111,4.555555555555555,1.0,3.5555555555555554
10,10.0,0.1,5.05,1.0,4.05
11,11.0,0.09090909090909091,5.545454545454546,1.0,4.545454545454546
12,12.0,0.08333333333333333,6.041666666666667,1.0,5.041666666666667
13,13.0,0.07692307692307693,6.538461538461538,1.0,5.538461538461538
14,14.0,0.07142857142857142,7.035714285714286,1.0,6.035714285714286
15,15.0,0.06666666666666667,7.533333333333333,1.0,6.533333333333333
16,16.0,0.0625,8.03125,1.0,7.03125
17,17.0,0.058823529411764705,8.529411764705882,1.0,7.529411764705882
18,18.0,0.05555555555555555,9.027777777777779,1.0,8.027777777777779
19,19.0,0.05263157894736842,9.526315789473685,1.0,8.526315789473685
20,20.0,0.05,10.025,1.0,9.025
21,21.0,0.047619047619047616,10.523809523809524,1.0,9.523809523809524
22,22.0,0.045454545454545456,11.022727272727273,1.0,10.022727272727273
23,23.0,0.043478260869565216,11.521739130434783,1.0,10.521739130434783
24,24.0,0.041666666666666664,12.020833333333334,1.0,11.020833333333334
25,25.0,0.04,12.52,1.0,11.52
26,26.0,0.038461538461538464,13.01923076923077,1.0,12.01923076923077
27,27.0,0.037037037037037035,13.518518518518519,1.0,12.518518518518519
28,28.0,0.03571428571428571,14.017857142857142,1.0,13.017857142857142
29,29.0,0.034482758620689655,14.517241379310345,1.0,13.517241379310345
30,30.0,0.03333333333333333,15.016666666666667,1.0,14.016666666666667
31,31.0,0.03225806451612903,15.516129032258064,1.0,14.516129032258064
32,32.0,0.03125,16.015625,1.0,15.015625
33,33.0,0.030303030303030304,16.515151515151516,1.0,15.515151515151516
34,34.0,0.029411764705882353,17.014705882352942,1.0,16.014705882352942
35,35.0,0.02857142857142857,17.514285714285716,1.0,16.514285714285716
36,36.0,0.027777777777777776,18.01388888888889,1.0,17.01388888888889
37,37.0,0.02702702702702703,18.513513513513512,1.0,17.513513513513512
38,38.0,0.02631578947368421,19.013157894736842,1.0,18.013157894736842
39,39.0,0.02564102564102564,19.512820512820515,1.0,18.512820512820515
40,40.0,0.025,20.0125,1.0,19.0125
41,41.0,0.024390243902439025,20.51219512195122,1.0,19.51219512195122
42,42.0,0.023809523809523808,21.011904761904763,1.0,20.011904761904763
43,43.0,0.023255813953488372,21.511627906976745,1.0,20.511627906976745
44,44.0,0.022727272727272728,22.011363636363637,1.0,21.011363636363637
45,45.0,0.022222222222222223,22.511111111111113,1.0,21.511111111111113
46,46.0,0.021739130434782608,23.01086956521739,1.0,22.01086956521739
47,47.0,0.02127659574468085,23.51063829787234,1.0,22.51063829787234
48,48.0,0.020833333333333332,24.010416666666668,1.0,23.010416666666668
49,49.0,0.02040816326530612,24.510204081632654,0.9999999999999999,23.510204081632654
50,50.0,0.02,25.01,1.0,24.01
51,51.0,0.0196078431372549,25.50980392156863,1.0,24.50980392156863
52,52.0,0.019230769230769232,26.009615384615383,1.0,25.009615384615383
53,53.0,0.018867924528301886,26.50943396226415,1.0,25.50943396226415
54,54.0,0.018518518518518517,27.00925925925926,1.0,26.00925925925926
55,55.0,0.01818181818181818,27.509090909090908,1.0,26.509090909090908
56,56.0,0.017857142857142856,28.008928571428573,1.0,27.008928571428573
57,57.0,0.017543859649122806,28.50877192982456,1.0,27.50877192982456
58,58.0,0.017241379310344827,29.00862068965517,1.0,28.00862068965517
59,59.0,0.01694915254237288,29.508474576271187,1.0,28.508474576271187
60,60.0,0.016666666666666666,30.008333333333333,1.0,29.008333333333333
61,61.0,0.01639344262295082,30.508196721311474,1.0,29.508196721311474
62,62.0,0.016129032258064516,31.008064516129032,1.0,30.008064516129032
63,63.0,0.015873015873015872,31.50793650793651,1.0,30.50793650793651
64,64.0,0.015625,32.0078125,1.0,31.0078125
65,65.0,0.015384615384615385,32.50769230769231,1.0,31.50769230769231
66,66.0,0.015151515151515152,33.00757575757576,1.0,32.00757575757576
67,67.0,0.014925373134328358,33.507462686567166,1.0,32.507462686567166
68,68.0,0.014705882352941176,34.00735294117647,1.0,33.00735294117647
69,69.0,0.014492753623188406,34.507246376811594,1.0,33.507246376811594
70,70.0,0.014285714285714285,35.00714285714286,1.0,34.00714285714286
71,71.0,0.014084507042253521,35.50704225352113,1.0,34.50704225352113
72,72.0,0.013888888888888888,36.00694444444444,1.0,35.00694444444444
