n,h,method,elementary_steps_per_vertex,max_error,closing_distance
3,1.7320508075688767,composed,2,1.5700924586837752e-16,
4,0.9999999999999999,composed,2,2.873307177330296e-16,
5,3.077683537175253,single_step,1,4.440892098500626e-16,3.4307778215552914e-17
6,1.7320508075688767,single_step,1,8.881784197001252e-16,8.326672684688676e-16
7,1.2539603376627038,single_step,1,4.440892098500626e-16,2.076638200927628e-16
8,0.9999999999999999,single_step,1,8.881784197001252e-16,5.495323605393213e-16
9,0.8390996311772799,single_step,1,8.881784197001252e-16,5.953361250457919e-16
10,0.7265425280053609,single_step,1,4.440892098500626e-16,0.0
11,0.642660977168331,single_step,1,8.881784197001252e-16,4.669895208482163e-16
12,0.5773502691896257,single_step,1,8.881784197001252e-16,3.845925372767128e-16
13,0.5248404873646182,single_step,1,8.881784197001252e-16,0.0
14,0.4815746188075286,single_step,1,8.881784197001252e-16,4.001105526462907e-16
15,0.4452286853085361,single_step,1,1.7763568394002505e-15,8.113913608932329e-16
16,0.41421356237309503,single_step,1,8.881784197001252e-16,2.0514246579479128e-16
17,0.38740206388549153,single_step,1,8.881784197001252e-16,2.588130347270666e-16
18,0.36397023426620234,single_step,1,8.881784197001252e-16,4.694707726500922e-16
19,0.3433004336237885,single_step,1,1.7763568394002505e-15,8.925578669999762e-16
20,0.3249196962329063,single_step,1,8.881784197001252e-16,6.335309052664018e-16
21,0.30845914892734094,single_step,1,1.7763568394002505e-15,1.0608989306894363e-16
22,0.29362649293836673,single_step,1,8.881784197001252e-16,1.597876786909309e-16
23,0.2801868599743765,single_step,1,8.881784197001252e-16,2.672632358057812e-16
24,0.2679491924311227,single_step,1,8.881784197001252e-16,2.1447861848524062e-16
